Fide id,Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,age,agerange
1213261,"Werle, Iozefina",NED,F,1989,WGM,2300,2261,2255,Active,31,30-40
4630610,"Borulya, Ekaterina Uriivna",GER,F,1969,WGM,2299,0,0,Inactive,51,50-60
4127714,"Ryjanova, Julia",AUS,F,1974,WGM,2299,2259,2232,Active,46,40-50
812153,"Sedina, Elena",ITA,F,1968,IM,2299,2264,2260,Active,52,50-60
13701282,"Zigangirova, Sofya",KAZ,F,1983,WIM,2299,0,2121,Inactive,37,30-40
13301926,"Andriasyan, Siranush",ARM,F,1986,WIM,2298,2195,2145,Active,34,30-40
24142654,"Belenkaya, Dina",RUS,F,1993,WGM,2297,2135,2247,Active,27,20-30
1114581,"Matras-Clement, Agnieszka",CAN,F,1982,WIM,2297,2238,2224,Active,38,30-40
11601876,"Rogule, Laura",LAT,F,1988,WGM,2297,2285,2129,Active,32,30-40
8610835,"Yao, Lan",CHN,F,2000,WIM,2297,0,2027,Active,20,10-20
13501542,"Azarova, Nadezhda",BLR,F,1983,WIM,2296,0,0,Inactive,37,30-40
24670057,"Klek, Hanna Marie",GER,F,1995,WGM,2296,0,2255,Active,25,20-30
2922029,"Krasteva, Beloslava",BUL,F,2004,FM,2296,1605,1459,Active,16,10-20
24174220,"Shafigullina, Zarina",RUS,F,2001,WFM,2296,2186,2128,Active,19,10-20
14902052,"Theissl Pokorna, Regina",AUT,F,1982,WGM,2296,2285,2267,Active,38,30-40
13600222,"Gurieli, Nino",GEO,F,1961,IM,2295,2253,2266,Inactive,59,50-60
13601040,"Tammert, Iamze",GER,F,1971,WIM,2295,0,0,Active,49,40-50
4193172,"Timofeeva, Ekaterina",RUS,F,1989,WIM,2295,2315,0,Inactive,31,30-40
12800619,"Ciuksyte, Dagne",ENG,F,1977,IM,2294,0,2288,Active,43,40-50
8601097,"Wang, Yu A.",CHN,F,1982,IM,2294,2233,2291,Active,38,30-40
24633569,"Osmanodja, Filiz",GER,F,1996,WGM,2293,2154,2320,Active,24,20-30
938238,"Eric, Jovana",SRB,F,1992,WGM,2292,2199,2233,Active,28,20-30
13701037,"Sergeyeva, Mariya",KAZ,F,1983,WGM,2291,0,2323,Active,37,30-40
4611870,"Keller-Hermann, Edith",GER,F,1921,WGM,2290,0,0,Inactive,99,90+
4123662,"Lopatskaya, Elena V.",RUS,F,1976,WIM,2290,0,0,Inactive,44,40-50
14103885,"Shved, Irina",UKR,F,1970,WIM,2290,0,0,Inactive,50,40-50
8614300,"Song, Yuxin",CHN,F,2005,WIM,2290,2092,2192,Active,15,10-20
24119300,"Styazhkina, Anna",RUS,F,1997,WIM,2289,2178,2212,Active,23,20-30
1119907,"Toma, Katarzyna",ENG,F,1985,WGM,2289,2202,2210,Active,35,30-40
12401102,"Hoang, Thi Bao Tram",VIE,F,1987,WGM,2288,2322,2280,Active,33,30-40
4109040,"Mikhaylova, Irina",RUS,F,1963,WGM,2288,2260,1985,Inactive,57,50-60
4129903,"Sudakova, Irina",RUS,F,1982,WGM,2288,2201,2235,Inactive,38,30-40
4900227,"Uuriintuya, Uurtsaikh",MGL,F,1998,WGM,2288,1995,1966,Inactive,22,20-30
4902785,"Altantuya, Boldbaatar",MGL,F,2005,WFM,2287,1735,1877,Active,15,10-20
4176715,"Drogovoz, Irina",RUS,F,1999,WIM,2287,2256,2163,Inactive,21,20-30
1210246,"L'Ami, Alina",ROU,F,1985,IM,2287,2345,2249,Active,35,30-40
